title,description,street,city,state,postal_code,country,lat,lng,phone,fax,email,website,is_disabled,logo_name,categories,marker_id,logo_image,description_2,open_hours,update_id,order
Pool Maintenance Services,not available,"100 Dijon Road, Lorraine",Port Elizabeth,Eastern Cape,1234,South Africa,-33.976929,25.529341,041 888 4927,,,,,Default,Local Services,1,,Custom additional,,,
Sandstone Pools,not available,"5 Yale Road, Blue Water Bay",Port Elizabeth,Eastern Cape,45553,South Africa,-33.857689,25.62956,072 888 0505,,,,,Default,Fitness,1,,,,,
Royal Autos,not available,"61 Heugh Road, Walmer",Port Elizabeth,Eastern Cape,33422,South Africa,-33.976898,25.605591,041 888 8117,,,,,Default,Arts & Entertainment,1,,,,,
Grahamstown Restaurant,not available,4 Hill Street,Grahamstown,Eastern Cape,23452,South Africa,-33.308353,26.525585,046 888 4320,,,,,Default,Restaurants,1,,,,,
Port Alfred Restaurant,not available,88 Albany Road,Port Alfred,Eastern Cape,23455,South Africa,-33.586407,26.907701,046 888 8618,,,,,Default,Restaurants,1,,,,,
JIM Beauty Saloon,not available,Jacaranda Street,Jeffreys Bay,Eastern Cape,5043,South Africa,-34.033333,24.916668,042 888 0813,,,,,Default,Beauty and Spas,1,,,,,
Sliming Center,not available,"28 6th Avenue, Walmer",Port Elizabeth,Eastern Cape,1234,South Africa,-33.978668,25.594669,041 888 6568,,,,,Default,Fitness,1,,,,,
Artcraft Centre,not available,"43 3rd Avenue, Newton Park",Port Elizabeth,Eastern Cape,45553,South Africa,-33.947609,25.568867,041 888 1257,,,,,Default,Arts & Entertainment,1,,,,,
Tams Hyperstore,not available,5 High Street,Cradock,Eastern Cape,33422,South Africa,-32.175652,25.621719,048 888 3022,,,,,Default,Appliances,1,,,,,
The Pool Lab,not available,"17 Young Road, Mill Park",Port Elizabeth,Eastern Cape,23452,South Africa,-33.965435,25.59059,083 888 1181,,,,,Default,Local Services,1,,,,,
Brandons Club,not available,"Leaping Frog Shopping Centre, Cnr William Nicol & Mulbarton Road, Fourways",Johannesburg,Gauteng,23455,South Africa,-26.005112,28.020357,011 888 1224,,,,,Default,Nightlife,1,,,,,
Amanzi Club,not available,"46 Longfellow Street, Ridgeway",Johannesburg,Gauteng,5043,South Africa,-26.253469,27.996401,011 888 4569,,,,,Default,Nightlife,1,,,,,
White Shop,50% Clothes available,Central Park,Denver,CO,60204,United States,37.3990371,-105.6721263,333-3333-333,222-2222-22,abc@abc.com,http://google.com,,Default,For The Home,1,,,,,
Tires Shop Center,ABC Tires,315 West Main Street,Walla Walla,WA,45553,United States,46.0645809,-118.3430209,333-333-33,11-11-11,this.zubair@gmail.com,http://tires.com/us,,Default,Auto,12,,,,,
QQ,not available,45 North Street,Uitenhage,Eastern Cape,5043,South Africa,-33.749771,25.405823,041 111 3964,,,,,Default,Restaurants,1,,,,,
AA,not available,"26 Northriding, Lorraine Manor",Port Elizabeth,Eastern Cape,1234,South Africa,-33.97506,25.513332,213 882 8888,,,,,Default,Restaurants,1,,,,,
SS,not available,"15 Heartly Road, Parsons Hill",Port Elizabeth,Eastern Cape,45553,South Africa,-33.947128,25.591169,123 226 2222,,,,,Default,Fitness | Nightlife,1,,,,,
WW,not available,"34 Saddlewood, Louis Michael Drive, Lovemore Heights",Port Elizabeth,Eastern Cape,33422,South Africa,-33.99213,25.531601,123 888 5555,,,,,Default,Local Services,1,,,,,
SS,not available,"274 Kragga Kamma Road, Lorraine",Port Elizabeth,Eastern Cape,23452,South Africa,-33.96524,25.50242,041 888 3534,,,,,Default,Local Services,1,,,,,
SSSSD,not available,"1 Demurville, Lorraine",Port Elizabeth,Eastern Cape,23455,South Africa,-33.968891,25.52002,072 888 1607,,,,,Default,Local Services,1,,,,,
AAZ,not available,"17 Reith Street, Sidwell",Port Elizabeth,Eastern Cape,1357,South Africa,-33.92194,25.595169,041 888 4916,,,,,Default,Local Services,1,,,,,
